Report Number,Category,Offense Parent Group,Offense,MCPP,Longitude,Latitude
2010-083829,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.3027771,47.60617557
2010-084400,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3373204,47.61132124
2010-085051,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BELLTOWN,-122.3539668,47.6144783
2010-086034,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BALLARD SOUTH,-122.3660527,47.67526545
2010-086579,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3307559,47.60205565
2010-087099,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SANDPOINT,-122.2695806,47.68077385
2010-088254,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SANDPOINT,-122.2635503,47.6761971
2010-088497,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BRIGHTON/DUNLAP,-122.2699856,47.53380086
2010-088782,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CLAREMONT/RAINIER VISTA,-122.2947572,47.56282753
2010-090814,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CHINATOWN/INTERNATIONAL DISTRICT,-122.3250569,47.59877133
2010-091324,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.3073983,47.61760476
2010-091364,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SLU/CASCADE,-122.3475944,47.62175679
2010-091615,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SOUTH BEACON HILL,-122.2796471,47.52187039
2010-092078,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,HIGHLAND PARK,-122.3467786,47.53193572
2010-092833,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FREMONT,-122.3485915,47.65865222
2010-093290,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,UNIVERSITY,-122.3207201,47.66247336
