Report Number,Category,Offense Parent Group,Offense,MCPP,Longitude,Latitude
2010-333689,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3377929,47.60974973
2010-334632,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.2955576,47.62324667
2010-334893,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GENESEE,-122.2849079,47.56125708
2010-335069,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BELLTOWN,-122.3445627,47.61222186
2010-335093,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MOUNT BAKER,-122.3016639,47.58295413
2010-335199,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,UNIVERSITY,-122.3195419,47.66495046
2010-335257,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SLU/CASCADE,-122.344328,47.61855857
2010-340062,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3349184,47.61163943
2010-340097,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3255523,47.61704061
2010-340484,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER BEACH,-122.2699905,47.52055617
2010-340944,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CHINATOWN/INTERNATIONAL DISTRICT,-122.3172288,47.59709314
2010-341524,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3208729,47.61990775
2010-341965,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.326062,47.71270065
2010-342197,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.3026942,47.61354827
2010-342490,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,ROOSEVELT/RAVENNA,-122.3223149,47.68022887
2010-342506,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FIRST HILL,-122.3194158,47.60620861
2010-344013,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SOUTH DELRIDGE,-122.3600994,47.52286135
2010-344240,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BELLTOWN,-122.3443534,47.61327122
2010-345566,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTH ADMIRAL,-122.3835643,47.57560881
2010-346035,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SOUTH DELRIDGE,-122.3545544,47.52102899
2010-347436,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,QUEEN ANNE,-122.3539097,47.64777061
2010-347565,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3208823,47.6204918
2010-349034,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.331964,47.60253739
2010-351480,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,ROXHILL/WESTWOOD/ARBOR HEIGHTS,-122.3699834,47.52013356
2010-351714,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SLU/CASCADE,-122.3445849,47.61575309
2010-352793,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,PIONEER SQUARE,-122.3341917,47.59738019
2010-354129,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SODO,-122.3241002,47.57980751
2010-354158,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3331722,47.6030194
2010-354313,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BELLTOWN,-122.3452133,47.61260646
2010-354350,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FIRST HILL,-122.3222382,47.60364596
2010-354661,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SANDPOINT,-122.2867406,47.708327
2010-354773,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,UNIVERSITY,-122.313088,47.66399625
2010-354892,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,HIGH POINT,-122.3630103,47.55010846
2010-355722,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FREMONT,-122.3634676,47.66001759
2010-357414,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3378706,47.60647838
2010-357690,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BRIGHTON/DUNLAP,-122.2783036,47.53154302
2010-359102,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FAUNTLEROY SW,-122.376823,47.51927894
2010-360505,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,ROXHILL/WESTWOOD/ARBOR HEIGHTS,-122.3699834,47.52013356
2010-361027,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GEORGETOWN,-122.312515,47.54816749
2010-362236,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,UNIVERSITY,-122.3191726,47.66130885
2010-362580,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER BEACH,-122.2663177,47.52806719
2010-363300,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BALLARD NORTH,-122.3832722,47.69058901
2010-363370,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3181689,47.6158384
2010-363370,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3181689,47.6158384
2010-363692,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SODO,-122.3342002,47.58085317
2010-365264,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.327353,47.61686239
2010-366453,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.323242,47.70744278
2010-367439,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BRIGHTON/DUNLAP,-122.2722564,47.53156922
2010-367717,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER BEACH,-122.2647897,47.52615323
2010-369974,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NEW HOLLY,-122.2874439,47.53909709
2010-370195,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SODO,-122.3378062,47.58950423
2010-370704,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BELLTOWN,-122.34196,47.610682
2010-371000,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,LAKECITY,-122.2940192,47.716459
2010-371471,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SODO,-122.3342025,47.57665156
2010-371489,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NEW HOLLY,-122.2841596,47.54066928
2010-372122,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GEORGETOWN,-122.3293685,47.56380429
2010-372606,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3181502,47.61467441
2010-372963,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,UNIVERSITY,-122.3130742,47.66490072
2010-375231,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3403672,47.61004628
2010-375237,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FREMONT,-122.3539429,47.65212542
2010-379095,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BALLARD NORTH,-122.3672721,47.69136274
2010-380088,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SODO,-122.3342025,47.57665156
2010-380818,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,UNIVERSITY,-122.313088,47.66399626
2010-380860,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,UNIVERSITY,-122.3119795,47.6621728
2010-380984,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FREMONT,-122.3599322,47.65634096
2010-381012,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GREENWOOD,-122.3500656,47.70434313
2010-381519,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,HIGH POINT,-122.3630103,47.55010846
2010-382321,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FIRST HILL,-122.3289131,47.61346582
2010-383115,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GEORGETOWN,-122.3267121,47.54610146
2010-383157,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.3313137,47.70864592
2010-383678,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3268205,47.61408813
2010-385081,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GREENWOOD,-122.3458654,47.68911263
2010-385508,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.3001038,47.61353727
2010-385699,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BRIGHTON/DUNLAP,-122.2727393,47.52910638
2010-386414,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FIRST HILL,-122.3174413,47.60268714
2010-387698,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GEORGETOWN,-122.3304638,47.5443856
2010-388736,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SOUTH PARK,-122.318919,47.52730344
2010-388988,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,LAKECITY,-122.2939446,47.71831814
2010-389920,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.33744,47.6085242
2010-390052,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GEORGETOWN,-122.3223531,47.54053232
2010-390918,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SLU/CASCADE,-122.3304204,47.62024434
2010-391078,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER VIEW,-122.2648181,47.50489478
2010-392033,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3302648,47.60171616
2010-393428,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3314869,47.61376019
2010-393720,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GREENWOOD,-122.3486,47.69419747
2010-394127,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MOUNT BAKER,-122.2941097,47.58291152
2010-394127,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MOUNT BAKER,-122.2941097,47.58291152
2010-395617,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BALLARD SOUTH,-122.3847431,47.67054766
2010-395812,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SLU/CASCADE,-122.3387532,47.61582545
2010-396032,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FREMONT,-122.353411,47.65200488
2010-396806,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,HIGH POINT,-122.376338,47.55014223
2010-397061,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3234461,47.61755441
2010-398101,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FREMONT,-122.3549838,47.65236053
2010-398548,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FIRST HILL,-122.3234439,47.60412808
2010-402221,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,QUEEN ANNE,-122.3466428,47.64141974
2010-405076,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER VIEW,-122.2701598,47.50468714
2010-405430,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3338246,47.6037328
2010-405440,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3341168,47.60656933
2010-406382,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3141074,47.62527357
2010-406513,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,ROXHILL/WESTWOOD/ARBOR HEIGHTS,-122.371942,47.51488274
2010-406884,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3365313,47.60753112
2010-407015,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BITTERLAKE,-122.3535198,47.71234038
2010-408259,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BALLARD SOUTH,-122.3632904,47.66645268
2010-408355,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,UNIVERSITY,-122.3155392,47.65760233
2010-409954,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BRIGHTON/DUNLAP,-122.2733924,47.54068784
2010-410080,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER BEACH,-122.2644964,47.52240866
2010-410113,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BELLTOWN,-122.3460724,47.61194161
2010-410158,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTH DELRIDGE,-122.3714437,47.56770275
2010-410227,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,COLUMBIA CITY,-122.2834766,47.55620801
2010-410554,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,HIGH POINT,-122.3725341,47.54465309
2010-411128,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,LAKECITY,-122.2927298,47.71926467
2010-411142,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SLU/CASCADE,-122.331849,47.62796758
2010-411155,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,PIONEER SQUARE,-122.3322332,47.59828868
2010-411524,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SODO,-122.3275083,47.58928567
2010-412415,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.3246152,47.7086028
2010-412698,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MOUNT BAKER,-122.2980618,47.58760568
2010-412997,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MID BEACON HILL,-122.2922503,47.55531109
2010-413180,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTH DELRIDGE,-122.3642211,47.56018812
2010-415223,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,WALLINGFORD,-122.3234964,47.66133602
2010-418070,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,PIONEER SQUARE,-122.3331968,47.601721
2010-418337,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3255523,47.61704061
2010-419764,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3207714,47.61351951
2010-421109,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MONTLAKE/PORTAGE BAY,-122.3220999,47.6482687
2010-421404,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SODO,-122.3259748,47.58617472
2010-422271,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CHINATOWN/INTERNATIONAL DISTRICT,-122.3250586,47.5983519
2010-425703,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3209062,47.62198807
2010-426456,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,PIONEER SQUARE,-122.3332002,47.60088199
2010-427451,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3377929,47.60974973
2010-428128,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SODO,-122.3342025,47.57665156
2010-428201,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GEORGETOWN,-122.3269538,47.55562376
2010-430408,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3209152,47.6225585
2010-430614,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER VIEW,-122.2436713,47.50145726
2010-432990,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTH BEACON HILL,-122.3145298,47.57162418
2010-435502,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MADRONA/LESCHI,-122.296901,47.5967202
2010-438216,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.334266,47.73322593
2010-440239,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SODO,-122.3295258,47.57369858
2010-440251,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.3121155,47.61477177
2010-440417,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3302648,47.60171616
2010-440748,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MOUNT BAKER,-122.2900098,47.58682671
2010-441174,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,ROOSEVELT/RAVENNA,-122.3173632,47.67582933
2010-442410,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,ROOSEVELT/RAVENNA,-122.3258259,47.68029317
2010-442525,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER VIEW,-122.2425418,47.50105009
2010-444493,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MOUNT BAKER,-122.2880316,47.58860109
2010-446419,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FIRST HILL,-122.3141936,47.60309549
2010-447265,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3381467,47.61097516
2015-002838,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,JUDKINS PARK/NORTH BEACON HILL,-122.3037389,47.60166928
2015-002950,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GEORGETOWN,-122.3222415,47.53963322
2015-003663,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,QUEEN ANNE,-122.3449399,47.62671115
2015-003945,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SOUTH PARK,-122.3201637,47.53119624
2015-004899,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NEW HOLLY,-122.2902717,47.54249488
2015-006209,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.304919,47.61410537
2015-006680,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.3014172,47.61294603
2015-007142,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3384495,47.60878866
2015-008209,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BALLARD SOUTH,-122.3788843,47.66867103
2015-008632,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTH BEACON HILL,-122.3032572,47.58501972
2015-009641,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER VIEW,-122.2701553,47.50489755
2015-012496,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.3027644,47.60563158
2015-012755,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3382473,47.6102463
2015-014396,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GEORGETOWN,-122.3301865,47.54517823
2015-015013,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3367605,47.60694243
2015-016233,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER BEACH,-122.2699905,47.52055617
2015-017959,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3255523,47.61704061
2015-018246,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.3025748,47.61802062
2015-019090,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.3271117,47.69772199
2015-020824,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.3027644,47.60563158
2015-020869,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NEW HOLLY,-122.2818729,47.53478968
2015-021258,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SOUTH PARK,-122.3189901,47.52305434
2015-021773,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3188866,47.61992219
2015-021830,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,COLUMBIA CITY,-122.2874779,47.5578548
2015-022178,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.3024904,47.62079119
2015-022745,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTH BEACON HILL,-122.2966297,47.57635897
2015-023242,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3295143,47.60405522
2015-023516,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,QUEEN ANNE,-122.352159,47.62209164
2015-023613,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CHINATOWN/INTERNATIONAL DISTRICT,-122.3196446,47.59750945
2015-024467,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SOUTH DELRIDGE,-122.3551145,47.52195143
2015-024627,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,HILLMAN CITY,-122.2794233,47.55193192
2015-024756,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.301433,47.61158109
2015-024769,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,PIONEER SQUARE,-122.3332002,47.60088199
2015-025616,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.333993,47.70866306
2015-025944,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,UNIVERSITY,-122.313149,47.66053224
2015-025963,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,LAKECITY,-122.292841,47.72379509
2015-026042,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,LAKECITY,-122.2963585,47.72290005
2015-026793,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3383483,47.60951744
2015-027246,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3337267,47.60278737
2015-028122,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.3434675,47.69237341
2015-028338,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3380477,47.61170568
2015-028369,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3391205,47.61120103
2015-029510,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3377929,47.60974973
2015-032628,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MOUNT BAKER,-122.2904288,47.57378096
2015-033231,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.3021233,47.60800753
2015-034937,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3393581,47.60978173
2015-034956,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BELLTOWN,-122.3458631,47.61299081
2015-035931,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3451319,47.73547443
2015-036054,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3181502,47.61467441
2015-036755,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,PIONEER SQUARE,-122.3332682,47.59678343
2015-037636,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,HILLMAN CITY,-122.2820948,47.54600376
2015-038270,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BALLARD NORTH,-122.3768044,47.6915193
2015-039547,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BRIGHTON/DUNLAP,-122.269986,47.53366139
2015-039761,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3407976,47.6084931
2015-041639,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER BEACH,-122.2638879,47.52764248
2015-041688,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BRIGHTON/DUNLAP,-122.273982,47.53262742
2015-045006,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTH BEACON HILL,-122.3159732,47.58637156
2015-045078,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3324961,47.61402449
2015-045460,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,ROXHILL/WESTWOOD/ARBOR HEIGHTS,-122.3631773,47.52468687
2015-045819,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3381467,47.61097516
2015-045874,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MID BEACON HILL,-122.2995898,47.54025126
2015-048638,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3340104,47.61064592
2015-048705,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CHINATOWN/INTERNATIONAL DISTRICT,-122.3237568,47.59751089
2015-049082,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MOUNT BAKER,-122.2936076,47.57629106
2015-049932,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BRIGHTON/DUNLAP,-122.2739824,47.53366273
2015-051891,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER BEACH,-122.2639339,47.5199755
2015-052993,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CHINATOWN/INTERNATIONAL DISTRICT,-122.3263605,47.59919276
2015-053017,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.3126481,47.71850811
2015-053176,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GEORGETOWN,-122.2938276,47.53177516
2015-053212,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MADRONA/LESCHI,-122.2999851,47.60086692
